"","carat","cut","color","clarity","total_depth","table","length","width","depth","price"
"29125",0.41,"Ideal","F","SI1",62.2,54,4.78,4.8,2.98,690
"42243",0.52,"Ideal","D","SI2",61.9,55,5.16,5.18,3.2,1292
"12261",1.07,"Ideal","I","VS1",62,57,6.5,6.56,4.05,5207
"4784",1,"Ideal","F","SI2",62.3,56,6.34,6.27,3.93,3696
"1698",0.91,"Good","I","SI2",60.2,59,6.24,6.29,3.77,3034
"4466",0.7,"Very Good","D","VVS2",62.3,56,5.66,5.7,3.54,3622
"31210",0.32,"Ideal","D","SI1",61.5,56,4.42,4.39,2.71,756
"37144",0.32,"Ideal","E","VS1",61.9,56,4.41,4.38,2.72,972
"26236",2.02,"Very Good","H","SI2",62.7,59,8.04,7.98,5.02,15666
"33430",0.32,"Ideal","G","VS1",61.2,56,4.44,4.42,2.71,828
"42126",0.5,"Premium","D","SI2",62.2,58,5.14,5.08,3.18,1279
"22279",1.5,"Premium","I","IF",62.9,58,7.31,7.21,4.57,10332
"33629",0.33,"Premium","I","VS2",60.6,58,4.44,4.47,2.7,463
"28333",0.33,"Premium","G","VS1",62.4,59,4.41,4.47,2.77,666
"13475",1.01,"Very Good","E","SI1",59.5,57,6.56,6.62,3.92,5534
"19281",1.06,"Premium","G","VVS2",59.6,58,6.61,6.65,3.95,8003
"32333",0.3,"Ideal","G","VVS1",62.6,54,4.31,4.32,2.7,789
"723",0.36,"Ideal","H","SI1",61.9,55,4.57,4.59,2.83,556
"38346",0.32,"Ideal","G","IF",61.2,57,4.43,4.4,2.7,1020
"20994",1.74,"Ideal","J","SI1",62.1,54,7.73,7.69,4.79,9208
"22650",1.01,"Good","E","VVS1",63.1,57,6.36,6.39,4.02,10696
"31540",0.3,"Ideal","E","VVS2",61.5,58,4.29,4.3,2.64,766
"48058",0.55,"Premium","E","VS2",61.1,58,5.28,5.3,3.23,1928
"35016",0.4,"Premium","E","SI1",61,59,4.74,4.71,2.88,882
"2640",0.91,"Good","H","SI1",63.7,60,6.16,6.09,3.9,3229
"37180",0.32,"Ideal","D","VS2",62.7,54,4.38,4.36,2.74,972
"20896",1.51,"Fair","I","VS2",58.8,62,7.57,7.51,4.43,9116
"11925",1.09,"Ideal","H","SI1",61.1,57,6.62,6.71,4.07,5125
"11056",0.31,"Ideal","H","VVS2",61.2,56,4.34,4.37,2.66,596
"23345",0.3,"Ideal","G","SI2",62.1,58,4.27,4.3,2.66,422
"42259",0.59,"Good","I","VS2",63.4,56,5.33,5.37,3.39,1294
"31561",0.38,"Very Good","G","VS2",60.8,61,4.65,4.66,2.83,766
"51638",0.31,"Good","H","VS1",63.1,57,4.31,4.34,2.73,544
"7567",0.72,"Ideal","F","VVS1",62,56,5.73,5.75,3.56,4252
"7207",0.91,"Very Good","E","SI1",63.3,56,6.12,6.17,3.89,4191
"6752",1.01,"Fair","G","SI1",66.9,56,6.15,6.22,4.14,4102
"20604",1.5,"Good","E","SI2",63,59,7.18,7.24,4.54,8910
"50259",0.56,"Very Good","F","VVS2",59.5,61,5.36,5.33,3.18,2236
"41295",0.34,"Ideal","D","VVS1",61.7,56,4.48,4.46,2.76,1211
"45871",0.51,"Premium","D","VS2",62.7,59,5.05,5.09,3.18,1716
"8154",1.06,"Good","F","SI2",62.2,61,6.47,6.53,4.04,4357
"44635",0.57,"Ideal","E","SI1",61.8,57,5.28,5.33,3.28,1608
"2395",0.32,"Very Good","H","VS1",62.8,55,4.35,4.41,2.75,561
"43648",0.6,"Premium","G","SI2",60.8,58,5.49,5.44,3.32,1433
"34021",0.35,"Ideal","E","VVS2",61,57,4.54,4.58,2.78,849
"53430",0.7,"Ideal","F","SI1",60.7,57,5.78,5.82,3.52,2671
"23229",1.1,"Ideal","D","VVS2",62,57,6.62,6.57,4.09,11233
"22640",1.01,"Ideal","F","IF",62,58,6.41,6.46,3.99,10688
"10701",0.72,"Very Good","E","VVS1",61.2,57,5.73,5.78,3.53,4847
"9142",1.1,"Ideal","J","VS2",62.4,55,6.59,6.64,4.13,4537
"29723",0.31,"Very Good","G","VVS2",62.1,56,4.27,4.33,2.67,707
"19409",1.5,"Premium","E","SI2",61.5,59,7.3,7.23,4.47,8064
"29971",0.29,"Ideal","F","VVS1",61.1,57,4.26,4.29,2.61,715
"19758",1.56,"Premium","J","VS1",61.1,59,7.49,7.52,4.58,8324
"9049",0.28,"Very Good","E","VS1",63.1,55,4.18,4.15,2.63,588
"7023",1.36,"Fair","J","SI2",67.8,55,6.73,6.66,4.54,4158
"22828",1.01,"Ideal","D","VVS2",61.1,57,6.47,6.49,3.96,10860
"38252",0.31,"Very Good","J","VS2",62.3,60,4.29,4.34,2.69,380
"16930",1.01,"Good","G","VS1",63.8,57,6.35,6.38,4.06,6759
"18161",1.21,"Good","G","VS2",59.1,61,6.95,6.89,4.09,7359
"27695",0.41,"Ideal","J","VS1",61.3,57,4.81,4.84,2.96,648
"51634",0.31,"Very Good","H","VS1",61.4,61,4.33,4.36,2.67,544
"34383",0.41,"Very Good","F","VS2",61.1,56,4.79,4.84,2.94,863
"27011",2.14,"Premium","D","SI2",59.8,59,8.4,8.36,5.01,17127
"44847",0.52,"Good","E","VS2",64.3,56,5.02,5.14,3.27,1625
"16915",1.02,"Very Good","E","VS2",62.9,56,6.37,6.47,4.04,6752
"4248",0.9,"Ideal","H","SI2",62,57,6.17,6.19,3.83,3578
"35632",0.3,"Very Good","I","VS1",58.8,61,4.38,4.43,2.59,473
"45887",0.61,"Premium","H","VS2",62.8,59,5.44,5.3,3.37,1719
"49146",0.59,"Very Good","E","VS2",60.8,57,5.37,5.42,3.28,2068
"35206",0.44,"Very Good","J","VS1",63.2,57,4.86,4.82,3.06,891
"35242",0.37,"Premium","F","VS2",59.7,62,4.7,4.68,2.8,894
"15434",1.03,"Ideal","F","SI1",62.4,57,6.48,6.44,4.03,6178
"42556",0.42,"Ideal","F","VVS1",61.3,56,4.82,4.83,2.96,1326
"39967",0.4,"Ideal","E","VVS2",62.6,54,4.71,4.74,2.96,1106
"45175",0.53,"Ideal","F","VS2",61.2,56,5.22,5.25,3.2,1655
"45817",0.5,"Ideal","D","VS2",61.9,59,5.07,5.1,3.15,1712
"15399",1.2,"Ideal","H","SI1",61.9,54,6.8,6.86,4.23,6169
"12051",0.34,"Good","I","VVS2",63.1,56,4.43,4.47,2.81,596
"5607",0.96,"Premium","H","SI2",59.2,61,6.42,6.36,3.78,3871
"38933",0.4,"Ideal","E","VS1",62.3,56,4.71,4.73,2.94,1053
"34668",0.31,"Premium","E","VS2",62.7,58,4.33,4.31,2.71,872
"30035",0.35,"Ideal","E","VS1",61.5,57,4.52,4.55,2.79,718
"47291",0.3,"Good","F","SI2",63.5,57,4.22,4.25,2.69,394
"14596",1.21,"Premium","D","SI2",62.2,60,6.8,6.83,4.24,5889
"28482",0.32,"Very Good","E","SI1",63.1,56,4.37,4.34,2.75,672
"6225",1,"Very Good","E","SI2",59.5,63,6.41,6.47,3.83,4004
"6186",0.91,"Good","F","SI1",64.4,60,6.05,6.1,3.91,3994
"199",0.7,"Ideal","E","SI1",61.4,57,5.76,5.7,3.52,2777
"30507",0.31,"Good","D","SI1",63.7,54,4.35,4.31,2.76,732
"15927",1.04,"Ideal","H","VS1",62,54,6.52,6.54,4.05,6368
"28529",0.31,"Very Good","F","VS1",60.6,55,4.41,4.43,2.67,675
"1193",0.59,"Very Good","D","VVS2",60.6,59,5.44,5.49,3.31,2933
"17303",1.05,"Ideal","F","VS2",62.8,57,6.48,6.45,4.06,6933
"9046",0.39,"Very Good","H","SI2",60.4,60,4.74,4.8,2.88,588
"32559",0.38,"Ideal","I","VVS1",62.4,54.8,4.64,4.66,2.9,800
"35367",0.38,"Premium","H","VS2",63,56,4.61,4.57,2.89,898
"11575",1.02,"Very Good","F","SI1",63.3,58,6.39,6.35,4.03,5038
"3804",0.71,"Very Good","D","VS1",62.9,56,5.65,5.7,3.57,3465
"32439",0.43,"Very Good","F","SI1",62.4,56,4.81,4.84,3.01,792
"41902",0.59,"Very Good","J","VS2",62.1,57,5.34,5.39,3.33,1261
"48906",0.51,"Very Good","F","VVS2",60.8,56,5.17,5.2,3.15,2041
"11170",1.01,"Premium","H","SI1",61.9,57,6.49,6.4,3.99,4949
"40869",0.55,"Good","H","SI1",63.6,55,5.18,5.23,3.31,1175
"14602",1.23,"Ideal","H","SI1",63,56,6.83,6.79,4.29,5889
"4286",1,"Premium","F","SI2",60.2,58,6.47,6.42,3.88,3584
"23510",1.7,"Premium","I","VS2",61.4,59,7.6,7.68,4.69,11519
"38325",0.53,"Ideal","H","SI2",61.6,54,5.22,5.26,3.23,1020
"37808",0.35,"Ideal","G","IF",62,54,4.54,4.56,2.82,1001
"22758",1.02,"Premium","D","VVS2",61.4,58,6.46,6.43,3.96,10773
"35683",0.32,"Premium","D","VVS1",62,60,4.37,4.4,2.72,910
"52506",0.68,"Ideal","G","VS1",61.7,55,5.71,5.66,3.51,2526
"21163",1.53,"Premium","J","VVS1",61.6,58,7.4,7.37,4.55,9322
"16608",1.27,"Ideal","H","SI1",61.7,57,6.95,6.93,4.28,6635
"31829",0.34,"Good","H","VVS1",63.2,58,4.41,4.45,2.8,775
"9495",1.05,"Ideal","G","SI2",61.8,57,6.51,6.57,4.04,4608
"25445",1.5,"Premium","F","VS2",61.6,58,7.37,7.31,4.52,14199
"4553",0.9,"Very Good","D","SI2",58.8,59,6.24,6.28,3.68,3643
"26301",1.72,"Premium","G","VS2",61.1,58,7.69,7.73,4.71,15801
"52707",0.74,"Fair","H","VS2",66.1,61,5.6,5.57,3.69,2553
"1011",0.7,"Very Good","F","SI1",61.9,58,5.71,5.72,3.54,2900
"6",0.24,"Very Good","J","VVS2",62.8,57,3.94,3.96,2.48,336
"24623",1.11,"Ideal","F","VVS1",59.7,58,6.7,6.74,4.01,12956
"46669",0.71,"Good","I","SI1",62.6,63,5.54,5.61,3.49,1788
"35809",0.31,"Ideal","F","IF",62.1,54,4.33,4.37,2.7,914
"1612",0.72,"Ideal","G","VS2",61.7,56,5.74,5.78,3.55,3012
"44817",0.5,"Premium","G","VS1",62.5,58,5.07,5.11,3.18,1624
"39458",0.39,"Ideal","G","VS1",62,55,4.71,4.66,2.9,1077
"27785",0.44,"Very Good","F","SI2",62.8,60,4.82,4.86,3.04,648
"41091",0.41,"Ideal","F","VVS2",62.3,56,4.77,4.73,2.96,1192
"9030",1.05,"Ideal","I","SI1",62.1,59,6.5,6.47,4.03,4516
"18786",1,"Very Good","G","IF",62.2,61,6.38,6.41,3.98,7682
"35362",0.38,"Premium","H","VS2",61.8,58,4.66,4.63,2.87,898
"6323",1,"Good","H","VS2",63.8,59,6.28,6.26,4,4028
"6165",1,"Good","H","SI2",59,61,6.42,6.46,3.8,3991
"52650",0.24,"Very Good","E","VVS2",58.5,59,4.04,4.09,2.38,552
"26354",0.32,"Very Good","G","VS1",62.8,59,4.33,4.37,2.73,645
"48878",0.76,"Very Good","J","VS1",59.3,63,6.12,5.93,3.55,2036
"5206",1.04,"Premium","G","SI1",60.3,58,6.6,6.55,3.96,3780
"51645",0.31,"Premium","G","VS2",62.2,59,4.3,4.35,2.69,544
"20943",1.5,"Premium","E","SI2",60.8,59,7.34,7.36,4.47,9157
"29690",0.4,"Very Good","E","SI1",62.8,59,4.7,4.73,2.96,707
"42684",0.5,"Very Good","H","VS2",62.3,57,5.03,5.12,3.16,1337
"21424",1.54,"Ideal","G","SI2",61.7,56,7.44,7.41,4.58,9530
"53068",0.81,"Good","E","I1",64.1,59,5.89,5.85,3.76,2608
"34880",0.39,"Premium","G","SI1",60.9,58,4.73,4.7,2.87,878
"40026",0.51,"Fair","D","SI2",66.5,58,4.95,4.89,3.27,1109
"16958",1.02,"Premium","F","VS2",62.4,59,6.45,6.4,4.01,6773
"15791",1.08,"Very Good","F","VS2",63.1,57,6.56,6.5,4.12,6319
"988",0.79,"Ideal","D","SI1",61.5,56,5.91,5.96,3.65,2896
"5271",0.91,"Good","D","SI1",64,58,6.06,6.09,3.89,3796
"46266",0.54,"Ideal","E","VS2",61.9,55,5.2,5.24,3.23,1754
"6273",1.12,"Premium","H","SI2",62.1,56,6.7,6.65,4.14,4014
"5933",0.91,"Premium","D","SI2",61,61,6.24,6.16,3.78,3943
"4197",0.78,"Very Good","F","VS1",63.3,56,5.84,5.89,3.71,3563
"51870",0.71,"Very Good","F","SI1",62.8,59,5.62,5.66,3.54,2427
"35770",0.4,"Premium","E","VS2",59.3,59,4.77,4.81,2.84,912
"13556",0.9,"Fair","E","VVS2",58.1,59,6.21,6.26,3.62,5551
"7647",1.03,"Ideal","F","SI2",62.3,56,6.51,6.43,4.03,4268
"52870",0.88,"Good","I","SI1",60.2,64,6.22,6.18,3.73,2581
"19666",1.2,"Ideal","H","VS1",61.6,57,6.82,6.85,4.21,8275
"6512",1.12,"Premium","J","SI1",62.7,55,6.65,6.61,4.16,4064
"10147",1,"Premium","H","SI1",62.7,58,6.41,6.32,3.99,4724
"16506",2.1,"Fair","G","I1",64.6,58,8.05,8.01,5.19,6597
"25524",1.51,"Very Good","E","VS2",60.8,60,7.3,7.36,4.46,14338
"21254",1.24,"Good","G","VS1",60.2,63,6.96,6.99,4.2,9405
"45674",0.52,"Very Good","E","VS2",63.4,57,5.16,5.12,3.26,1694
"13772",1.05,"Very Good","H","VS2",63.3,56,6.48,6.41,4.08,5614
"46142",0.57,"Premium","F","SI2",60.7,59,5.38,5.33,3.25,1746
"52206",0.7,"Ideal","G","SI1",61.3,56,5.73,5.78,3.53,2480
"40847",0.46,"Premium","E","VS2",58.5,61,5.1,5.05,2.97,1173
"49312",0.34,"Ideal","G","SI1",61.9,55,4.5,4.52,2.79,540
"38753",0.35,"Ideal","E","VVS1",62,56,4.51,4.58,2.82,1044
"38081",0.3,"Premium","E","VVS2",61.4,60,4.28,4.25,2.62,1013
"21521",1.5,"Good","H","VS2",64,58,7.14,7.17,4.58,9620
"41417",0.53,"Ideal","H","SI1",62.4,59,5.18,5.21,3.24,1226
"9164",1.02,"Ideal","F","SI2",60.7,56,6.53,6.5,3.95,4541
"38249",0.32,"Ideal","E","IF",61.9,55,4.38,4.41,2.72,1018
"22185",1.3,"Ideal","G","VS1",62,55,7.02,6.98,4.34,10221
"4324",0.8,"Ideal","D","SI1",62.6,55,5.91,5.94,3.71,3597
"20969",1.51,"Very Good","I","VS2",60.4,58,7.36,7.42,4.46,9178
"10979",1.01,"Ideal","H","VS2",62.1,54,6.5,6.44,4.02,4909
"26425",2.06,"Premium","G","SI2",59.8,61,8.26,8.22,4.93,15949
"47566",0.51,"Very Good","G","VVS2",61.5,56,5.12,5.15,3.16,1875
"46570",0.5,"Very Good","G","VVS2",61.6,58,5.07,5.09,3.13,1784
"3352",0.82,"Ideal","E","SI1",62.1,54,5.98,6.03,3.73,3380
"115",0.73,"Ideal","F","VS2",62.6,56,5.77,5.74,3.6,2762
"37601",0.23,"Very Good","E","VVS2",62.1,62,3.91,3.95,2.44,485
"28673",0.24,"Ideal","F","VVS2",62.1,56,3.96,3.99,2.46,678
"51670",0.7,"Ideal","F","SI2",62.1,57,5.65,5.69,3.52,2398
"29262",0.31,"Premium","G","VS2",61,56,4.37,4.35,2.66,698
"7510",1.05,"Very Good","G","SI2",61.6,60,6.49,6.56,4.02,4241
"47601",0.52,"Ideal","G","VVS2",60.8,57,5.2,5.17,3.15,1878
"2362",0.7,"Premium","E","VS1",62.9,61,5.65,5.57,3.53,3175
"8144",1.01,"Fair","H","VVS2",65,55,6.31,6.27,4.09,4355
"6050",0.32,"Premium","I","VS2",62.6,58,4.42,4.37,2.75,576
"48682",0.53,"Ideal","G","VVS1",60.8,56,5.22,5.24,3.18,2005
"17091",1.04,"Premium","D","VS2",62,60,6.49,6.45,4.01,6814
"21296",1.5,"Premium","E","SI2",60.1,60,7.42,7.35,4.44,9450
"45143",0.5,"Premium","F","VS2",60.7,58,5.16,5.12,3.12,1654
"8971",0.9,"Very Good","F","VS2",63.2,58,6.11,6.16,3.88,4504
"32444",0.43,"Premium","F","SI1",61.3,60,4.83,4.86,2.97,792
"48817",0.51,"Ideal","G","VVS1",61.4,55,5.15,5.18,3.17,2027
"49684",0.52,"Fair","F","IF",64.6,58,5.04,5.17,3.3,2144
"44569",0.52,"Premium","E","SI1",61.6,58,5.17,5.12,3.17,1605
"40583",0.41,"Premium","E","VS1",60.7,58,4.83,4.79,2.92,1153
"23927",1.06,"Ideal","D","VVS2",62,56,6.53,6.57,4.06,12053
"14389",0.3,"Good","H","VVS2",63.7,55,4.24,4.27,2.71,605
"44482",0.5,"Good","H","VVS1",63.3,57,5.02,5.06,3.19,1596
"30606",0.34,"Very Good","I","SI1",61.8,57,4.46,4.51,2.77,447
"9858",1.02,"Premium","F","SI1",63,58,6.4,6.36,4.02,4678
"7437",0.9,"Premium","F","VS2",62.7,54,6.13,6.11,3.84,4229
"15928",1.17,"Ideal","H","SI1",61.1,57,6.77,6.83,4.16,6368
"51475",0.73,"Ideal","G","SI1",61.7,60,5.77,5.8,3.57,2377
"52907",0.77,"Very Good","G","SI1",63.2,57,5.86,5.76,3.67,2586
"5305",1.02,"Fair","I","SI2",65.5,57,6.19,6.24,4.07,3802
"12563",1.52,"Ideal","H","SI2",59.9,55,7.54,7.45,4.49,5277
"45277",0.54,"Ideal","F","VS2",60.3,55,5.26,5.32,3.19,1662
"43645",0.5,"Good","F","VS2",58.8,64,5.21,5.16,3.05,1433
"45988",0.3,"Good","H","VS1",63.3,56,4.26,4.3,2.71,526
"14822",1.35,"Ideal","J","VS2",61.4,57,7.13,7.1,4.37,5969
"3899",0.89,"Premium","H","VS1",60.5,59,6.22,6.17,3.75,3489
"26680",0.28,"Very Good","G","VS2",62,56,4.16,4.19,2.59,427
"35233",0.58,"Fair","F","I1",66.3,55,5.18,5.1,3.41,893
"10896",1.02,"Premium","H","SI1",62.9,59,6.41,6.38,4.02,4884
"43408",0.53,"Ideal","D","SI2",62.9,54,5.17,5.13,3.24,1412
"48958",0.7,"Very Good","H","SI1",62.9,56,5.64,5.68,3.56,2048
"39725",0.58,"Very Good","J","VS2",62.8,57,5.28,5.33,3.33,1090
"7235",0.9,"Fair","I","VVS1",63.5,57,5.98,6.09,3.83,4194
"37256",0.31,"Ideal","H","IF",60.8,57,4.4,4.38,2.67,977
"40603",0.23,"Very Good","E","VVS2",63,58,3.92,3.95,2.48,498
"25648",1.97,"Premium","F","SI2",61.1,58,8.11,8.05,4.94,14542
"35752",0.3,"Ideal","D","VS2",62.9,56,4.28,4.24,2.68,911
"38963",0.31,"Ideal","H","VS2",62.4,55,4.33,4.36,2.71,489
"52229",0.8,"Premium","G","SI2",59.7,62,6.02,5.98,3.58,2484
"39226",0.32,"Ideal","D","VVS1",61.9,56,4.36,4.39,2.71,1067
"18608",1.54,"Premium","J","SI1",61.2,59,7.45,7.41,4.55,7589
"5532",1,"Premium","F","SI2",61.7,57,6.42,6.35,3.94,3853
"16967",1,"Premium","D","VS2",60.8,61,6.41,6.39,3.89,6776
"42739",0.51,"Ideal","E","SI1",62.5,56,5.07,5.1,3.18,1343
"27792",0.37,"Premium","G","VS2",61.3,60,4.6,4.63,2.83,649
"5166",0.9,"Ideal","H","SI2",61.5,56,6.24,6.18,3.82,3770
"35981",0.42,"Premium","G","VS1",60.8,59,4.79,4.85,2.93,921
"39266",0.38,"Ideal","G","VS1",61.8,56,4.65,4.64,2.87,1069
"36693",0.4,"Very Good","D","VS1",59.4,60,4.77,4.83,2.85,952
"26515",2.01,"Good","I","VS2",63.6,57,7.95,7.87,5.03,16149
"15231",1.5,"Very Good","I","SI2",63.2,52,7.28,7.24,4.59,6115
"43206",0.62,"Ideal","G","SI2",60.6,57,5.53,5.56,3.36,1395
"46321",0.58,"Ideal","H","VS2",61.2,56,5.41,5.39,3.3,1755
"35935",0.37,"Ideal","F","VVS2",61.6,57,4.59,4.63,2.84,920
"35621",0.36,"Very Good","G","SI2",61.9,56,4.55,4.59,2.83,473
"4811",1.02,"Premium","H","SI2",59.2,59,6.57,6.54,3.88,3701
"9137",1.1,"Ideal","H","SI2",62,55,6.6,6.62,4.1,4537
"34334",0.3,"Very Good","E","VVS1",62.6,56,4.26,4.27,2.67,862
"20945",1.26,"Very Good","G","VVS2",62.1,58,6.92,6.83,4.27,9158
"31410",0.3,"Ideal","G","VVS1",62.7,54,4.3,4.34,2.71,764
"43000",0.55,"Ideal","D","SI2",61.3,57,5.28,5.23,3.22,1368
"49904",0.61,"Very Good","E","SI1",63.9,54,5.38,5.42,3.45,2179
"19530",1.01,"Premium","G","VVS2",61.2,58,6.49,6.45,3.96,8163
"35003",0.42,"Very Good","G","SI1",63.1,56,4.79,4.75,3.01,882
"1896",0.73,"Ideal","E","VS2",62.7,56,5.75,5.8,3.62,3077
"17535",1.01,"Ideal","F","VS1",61.7,59,6.44,6.42,3.97,7056
"8984",0.95,"Ideal","H","SI1",61.9,56,6.29,6.35,3.91,4508
"956",0.8,"Ideal","F","SI1",61.5,54,6.07,6,3.71,2890
"28753",0.31,"Very Good","E","VS2",62.6,56,4.3,4.33,2.7,680
"42362",0.61,"Good","I","VS2",63.4,55,5.42,5.46,3.45,1303
"27793",0.37,"Ideal","G","VS2",62.2,57,4.59,4.64,2.87,649
"42324",0.41,"Ideal","D","VVS2",62.3,55,4.76,4.77,2.97,1295
"7622",1,"Ideal","H","SI2",61.2,57,6.42,6.45,3.94,4260
"7394",0.33,"Premium","H","VS1",61.5,58,4.39,4.46,2.72,579
"16888",1.2,"Ideal","D","SI2",61.7,56,6.88,6.81,4.22,6740
"36935",0.24,"Very Good","E","VVS1",63.4,57,3.91,3.95,2.49,478
"17772",1.56,"Premium","I","SI1",61.7,59,7.44,7.38,4.57,7155
"29835",0.38,"Ideal","F","SI1",61.3,55,4.63,4.76,2.88,710
"44517",0.52,"Ideal","D","SI1",60.9,57,5.17,5.21,3.16,1600
"39865",0.39,"Ideal","G","IF",61.9,54,4.67,4.73,2.91,1101
"5088",1,"Premium","E","SI2",61,59,6.4,6.33,3.89,3752
"37153",0.32,"Ideal","D","VS2",62.2,56,4.39,4.36,2.72,972
"48056",0.73,"Premium","I","SI2",62,57,5.79,5.76,3.58,1927
"1672",0.7,"Very Good","G","VS2",61.8,55,5.69,5.74,3.53,3026
"42848",0.41,"Premium","F","VVS1",61.8,59,4.77,4.74,2.94,1356
"44330",0.33,"Premium","I","VS1",59.5,60,4.5,4.54,2.69,521
"53301",0.3,"Very Good","I","VVS1",62.8,59,4.24,4.29,2.68,552
"49045",0.7,"Premium","G","SI2",61.8,61,5.66,5.63,3.49,2056
"44",0.26,"Good","D","VS1",58.4,63,4.19,4.24,2.46,403
"43426",0.35,"Fair","G","VS2",65.9,54,5.57,5.53,3.66,1415
"53744",0.74,"Premium","F","SI1",62.3,61,5.8,5.76,3.6,2723
"39295",0.3,"Ideal","H","VS2",62.6,55,4.28,4.31,2.69,491
"6516",1.12,"Premium","H","SI2",62.4,58,6.58,6.63,4.12,4065
"9515",0.9,"Premium","D","SI1",62.4,61,6.17,6.13,3.84,4612
"37562",0.31,"Premium","G","IF",61.7,54,4.36,4.33,2.68,988
"14926",1.27,"Very Good","I","VS2",62.6,59,6.86,6.95,4.32,6007
"25903",2.19,"Premium","I","SI2",60.8,60,8.34,8.38,5.08,15032
"43936",0.3,"Good","G","VS2",58.5,64,4.42,4.37,2.57,515
"50372",0.71,"Premium","D","SI1",58.1,61,5.81,5.79,3.37,2249
"32733",0.31,"Very Good","F","VS2",63.4,56,4.32,4.29,2.73,802
"1460",0.7,"Ideal","E","VS2",61.7,56,5.74,5.71,3.53,2979
"21118",1.25,"Ideal","G","VS2",61.5,58,6.88,6.93,4.25,9282
"14795",1.05,"Very Good","D","SI1",59.3,59,6.63,6.69,3.95,5952
"35603",0.31,"Premium","H","VVS1",61.9,58,4.34,4.32,2.68,907
"38552",0.5,"Very Good","J","VS1",61.4,57.8,5.09,5.14,3.15,1034
"10094",1.13,"Ideal","G","SI2",61.3,57,6.73,6.67,4.11,4712
"48860",0.59,"Very Good","F","VS1",61.7,59,5.35,5.38,3.31,2034
"9451",0.9,"Very Good","I","IF",62.6,59,6.12,6.15,3.84,4596
"49368",0.7,"Ideal","E","SI2",62.9,56,5.66,5.6,3.54,2100
"46635",0.3,"Very Good","E","SI1",62.7,60,4.24,4.28,2.67,526
"39553",0.32,"Premium","G","VVS1",60.9,61,4.4,4.37,2.67,1080
"29253",0.32,"Ideal","G","VVS2",61.3,55,4.4,4.44,2.71,698
"29061",0.4,"Very Good","E","SI1",60.8,62,4.72,4.76,2.88,687
"28921",0.3,"Ideal","H","VVS1",62,55,4.3,4.34,2.68,684
"45481",0.51,"Very Good","D","VS2",62.2,57,5.11,5.14,3.19,1678
"18440",1.41,"Good","D","SI2",63.9,60,7.08,7,4.5,7501
"49920",0.7,"Very Good","G","SI1",63.3,61,5.6,5.55,3.53,2184
"49354",0.56,"Ideal","F","VS1",62.1,56,5.32,5.28,3.29,2097
"21570",1.1,"Ideal","F","VS1",61.5,56,6.63,6.66,4.09,9669
"32143",0.32,"Ideal","G","VVS1",61.8,56,4.39,4.41,2.72,786
"21985",1.2,"Premium","G","VVS2",62.8,59,6.72,6.65,4.2,10053
"32182",0.39,"Premium","G","VS2",62.3,59,4.65,4.69,2.91,787
"8038",0.9,"Premium","E","SI1",63,59,6.13,6.1,3.85,4334
"40183",0.51,"Good","H","SI1",63.4,57,5.06,5.09,3.22,1119
"48307",0.32,"Ideal","H","VS2",61.5,57,4.41,4.45,2.72,534
"38334",0.32,"Ideal","E","VVS1",61.7,56,4.42,4.4,2.72,1020
"31849",0.36,"Ideal","D","VS2",62,54,4.6,4.62,2.86,776
"42904",0.59,"Very Good","E","SI2",62.9,58,5.33,5.39,3.37,1362
"31275",0.32,"Premium","E","SI2",59.7,60,4.43,4.45,2.65,449
"18454",1,"Very Good","G","VVS1",62.3,56,6.29,6.4,3.95,7507
"17897",1.01,"Very Good","G","VVS2",59.7,59,6.5,6.56,3.9,7226
"37945",0.36,"Good","I","SI1",63.1,57,4.51,4.55,2.86,486
"48788",0.62,"Very Good","D","VS2",59,59,5.59,5.66,3.32,2022
"14266",1.02,"Very Good","D","SI1",63.3,60,6.33,6.38,4.02,5778
"49593",0.7,"Very Good","I","SI1",62.2,58,5.63,5.66,3.51,2136
"26158",2.1,"Very Good","I","SI1",59.9,61,8.26,8.34,4.97,15474
"7691",1.1,"Very Good","H","SI1",63,58,6.53,6.59,4.13,4276
"13",0.22,"Premium","F","SI1",60.4,61,3.88,3.84,2.33,342
"36495",0.31,"Very Good","E","IF",60.6,60,4.4,4.44,2.68,944
"41868",0.38,"Premium","D","VVS2",61.9,56,4.65,4.63,2.87,1257
"11707",0.34,"Premium","G","VS2",61,58,4.46,4.49,2.73,596
"45640",0.23,"Very Good","F","VVS1",60.7,55,3.98,4,2.42,525
"34673",0.41,"Very Good","H","VVS2",62.4,54,4.75,4.77,2.97,873
"9444",1,"Ideal","D","SI1",63,56,6.33,6.28,3.97,4592
"13489",1.07,"Ideal","E","SI1",61.4,57,6.59,6.53,4.03,5537
"19598",1.62,"Ideal","I","SI2",62.2,57,7.51,7.57,4.69,8220
"15764",1.3,"Very Good","I","SI1",62.3,58,6.93,6.96,4.33,6302
"1066",0.31,"Ideal","E","SI2",61.3,55,4.37,4.34,2.67,558
"24020",1.54,"Ideal","F","SI1",61.9,56,7.44,7.38,4.59,12195
"34699",0.38,"Good","F","VS2",56.2,61,4.84,4.87,2.73,873
"25759",1.51,"Premium","E","VS2",60.7,60,7.37,7.46,4.5,14709
"43119",0.52,"Ideal","D","SI2",62.5,56,5.12,5.08,3.19,1385
